Nom_Association,Subvention_2020,Subvention_2021,Subvention_2022
جمعية الفنون التشكيلية عمار فرحات,2500,4500,0
جمعية الأمل الجديد للمسرح,4000,6000,5000
جمعية محمد الحيدري للمسرح,4000,1500,0
جمعية النجاح المسرحي الباجي,3000,0,4000
جمعية مسرح الناس بالمعقولة ,1000,0,3000
جمعية القناع المسرحي بوادي الزرقاء,0,0,5000
جمعية الحبيب الحداد للمسرح,2500,3000,2000
جمعية تانيت للإبداع المسرحي,2500,3000,4000
جمعية زهرة الشمال للفنون الركحية والتنمية الثقافية,2000,0,0
جمعية جسور للمسرح والفنون بمجاز الباب,3500,4500,0
جمعية أحباء المكتبة الجهوية والكتاب بباجة,2500,4000,2500
جمعية أحباء المكتبة العمومية بنفزة,2000,3000,0
جمعية أمّة تقرأ أمّة ترتقي,0,1500,0
 جمعية أحباء دار الثقافة عمار فرحات بباجة,0,6000,6000
جمعية المالوف والموسيقى بمجاز الباب,0,2500,3000
جمعية النغم الجديد للموسيقى بباجة,2000,2500,4000
جمعية الإبداع الفني بباجة,4000,0,5000
جمعية مهرجان الاجبان والنهوض بالتراث بباجة,2000,0, 
جمعية  حنين للثقافة والفنون,3000,0,0
جمعية النادي الثقافي علي القلصادي,1000,0,0
جمعية إصرار,1000,0,0
الجمعية الوطنية للفنون والحرف,1000,0,0
جمعية اندلسيات للثقافة الاجتماعية بتستور,2000,0,0
جمعية ابداع وفنون بباجة,0,0,0
جمعية ميثاق للتنمية والمواطنة,4000,0,4000
جمعية الحصاد للثقافة والتنمية بعمدون,2500,0,12000
جمعية مهرجان المدينة بباجة,3000,0,0
جمعية تجديد وصيانة مدينة باجة,0,0,3000
جمعية تراث تستور,0,0,2500
جمعية ثقافة وحوار بنفزة,3000,0,4000
الرابطة العربية للفنون والإبداع,0,0,4000
منتدى تنمية ، تراث وبيئة,2000,0,3000
البديل الشبابي,0,0,2000
جمعية تبرسق في القلب,0,3000,6000
جمعية فاقا للثقافة والترفيه والمهرجانات,3000,0,3000
مهرجان باجة الدّولي,32000,32000,32000
مهرجان دقّة الدولي,27000,27000,30000
مهرجان تستور الدّولي,27000,27000,30000
مهرجان مجردة بمجاز الباب,15000,15000,10000
مهرجان عمدون الثقافي,12000,12000,12000
مهرجان الكرموس بدجبّة,12000,0,12000
جمعية صيانة مدينة تبرسق,2500,3000,0
جمعية الطفل السعيد بباجة,500,1000,0
