annee_scolaire;ordre_CRE;Nom_CRE;Lib_matriere;effectif_enseignants
2021/2022;1;Tunis 1;Arabe;421
2021/2022;2;Tunis 2;Arabe;360
2021/2022;3; Ariana ;Arabe;360
2021/2022;4; Mannouba ;Arabe;310
2021/2022;5; Ben Arous ;Arabe;516
2021/2022;6; Zaghouan ;Arabe;132
2021/2022; 7 ; Bizerte ;Arabe;447
2021/2022; 8 ; Béja ;Arabe;268
2021/2022; 9 ; Jendouba ;Arabe;324
2021/2022; 10 ; Siliana ;Arabe;195
2021/2022; 11 ; Le Kef ;Arabe;228
2021/2022; 12 ; Kasserine ;Arabe;403
2021/2022; 13 ; Sidi Bouzid ;Arabe;403
2021/2022; 14 ; Gafsa ;Arabe;370
2021/2022; 15 ; Tozeur ;Arabe;118
2021/2022; 16 ; Kébili ;Arabe;178
2021/2022; 17 ; Tataouine ;Arabe;133
2021/2022; 18 ; Médenine ;Arabe;442
2021/2022; 19 ; Gabès ;Arabe;342
2021/2022; 20 ;Sfax 1;Arabe;422
2021/2022; 21 ;Sfax 2;Arabe;351
2021/2022; 22 ; Mahdia ;Arabe;339
2021/2022; 23 ; Kairouan ;Arabe;448
2021/2022; 24 ; Monastir ;Arabe;493
2021/2022; 25 ; Sousse ;Arabe;559
2021/2022; 26 ; Nabeul ;Arabe;564
2021/2022;1;Tunis 1;Education Civique;114
2021/2022;2;Tunis 2;Education Civique;101
2021/2022;3; Ariana ;Education Civique;109
2021/2022;4; Mannouba ;Education Civique;89
2021/2022;5; Ben Arous ;Education Civique;142
2021/2022;6; Zaghouan ;Education Civique;45
2021/2022; 7 ; Bizerte ;Education Civique;122
2021/2022; 8 ; Béja ;Education Civique;73
2021/2022; 9 ; Jendouba ;Education Civique;107
2021/2022; 10 ; Siliana ;Education Civique;59
2021/2022; 11 ; Le Kef ;Education Civique;66
2021/2022; 12 ; Kasserine ;Education Civique;107
2021/2022; 13 ; Sidi Bouzid ;Education Civique;105
2021/2022; 14 ; Gafsa ;Education Civique;94
2021/2022; 15 ; Tozeur ;Education Civique;33
2021/2022; 16 ; Kébili ;Education Civique;49
2021/2022; 17 ; Tataouine ;Education Civique;42
2021/2022; 18 ; Médenine ;Education Civique;121
2021/2022; 19 ; Gabès ;Education Civique;100
2021/2022; 20 ;Sfax 1;Education Civique;114
2021/2022; 21 ;Sfax 2;Education Civique;86
2021/2022; 22 ; Mahdia ;Education Civique;94
2021/2022; 23 ; Kairouan ;Education Civique;110
2021/2022; 24 ; Monastir ;Education Civique;130
2021/2022; 25 ; Sousse ;Education Civique;161
2021/2022; 26 ; Nabeul ;Education Civique;154
2021/2022;1;Tunis 1;Education et pensée Islamique ;121
2021/2022;2;Tunis 2;Education et pensée Islamique ;103
2021/2022;3; Ariana ;Education et pensée Islamique ;110
2021/2022;4; Mannouba ;Education et pensée Islamique ;90
2021/2022;5; Ben Arous ;Education et pensée Islamique ;148
2021/2022;6; Zaghouan ;Education et pensée Islamique ;49
2021/2022; 7 ; Bizerte ;Education et pensée Islamique ;131
2021/2022; 8 ; Béja ;Education et pensée Islamique ;75
2021/2022; 9 ; Jendouba ;Education et pensée Islamique ;97
2021/2022; 10 ; Siliana ;Education et pensée Islamique ;61
2021/2022; 11 ; Le Kef ;Education et pensée Islamique ;60
2021/2022; 12 ; Kasserine ;Education et pensée Islamique ;113
2021/2022; 13 ; Sidi Bouzid ;Education et pensée Islamique ;109
2021/2022; 14 ; Gafsa ;Education et pensée Islamique ;109
2021/2022; 15 ; Tozeur ;Education et pensée Islamique ;39
2021/2022; 16 ; Kébili ;Education et pensée Islamique ;58
2021/2022; 17 ; Tataouine ;Education et pensée Islamique ;48
2021/2022; 18 ; Médenine ;Education et pensée Islamique ;132
2021/2022; 19 ; Gabès ;Education et pensée Islamique ;107
2021/2022; 20 ;Sfax 1;Education et pensée Islamique ;118
2021/2022; 21 ;Sfax 2;Education et pensée Islamique ;97
2021/2022; 22 ; Mahdia ;Education et pensée Islamique ;98
2021/2022; 23 ; Kairouan ;Education et pensée Islamique ;127
2021/2022; 24 ; Monastir ;Education et pensée Islamique ;139
2021/2022; 25 ; Sousse ;Education et pensée Islamique ;153
2021/2022; 26 ; Nabeul ;Education et pensée Islamique ;172
2021/2022;1;Tunis 1;Philosophie;72
2021/2022;2;Tunis 2;Philosophie;55
2021/2022;3; Ariana ;Philosophie;60
2021/2022;4; Mannouba ;Philosophie;49
2021/2022;5; Ben Arous ;Philosophie;82
2021/2022;6; Zaghouan ;Philosophie;27
2021/2022; 7 ; Bizerte ;Philosophie;71
2021/2022; 8 ; Béja ;Philosophie;47
2021/2022; 9 ; Jendouba ;Philosophie;62
2021/2022; 10 ; Siliana ;Philosophie;44
2021/2022; 11 ; Le Kef ;Philosophie;50
2021/2022; 12 ; Kasserine ;Philosophie;76
2021/2022; 13 ; Sidi Bouzid ;Philosophie;84
2021/2022; 14 ; Gafsa ;Philosophie;86
2021/2022; 15 ; Tozeur ;Philosophie;23
2021/2022; 16 ; Kébili ;Philosophie;33
2021/2022; 17 ; Tataouine ;Philosophie;29
2021/2022; 18 ; Médenine ;Philosophie;70
2021/2022; 19 ; Gabès ;Philosophie;61
2021/2022; 20 ;Sfax 1;Philosophie;70
2021/2022; 21 ;Sfax 2;Philosophie;45
2021/2022; 22 ; Mahdia ;Philosophie;58
2021/2022; 23 ; Kairouan ;Philosophie;93
2021/2022; 24 ; Monastir ;Philosophie;73
2021/2022; 25 ; Sousse ;Philosophie;84
2021/2022; 26 ; Nabeul ;Philosophie;82
2021/2022;1;Tunis 1;Histoire & Géographie;219
2021/2022;2;Tunis 2;Histoire & Géographie;181
2021/2022;3; Ariana ;Histoire & Géographie;179
2021/2022;4; Mannouba ;Histoire & Géographie;168
2021/2022;5; Ben Arous ;Histoire & Géographie;258
2021/2022;6; Zaghouan ;Histoire & Géographie;75
2021/2022; 7 ; Bizerte ;Histoire & Géographie;230
2021/2022; 8 ; Béja ;Histoire & Géographie;137
2021/2022; 9 ; Jendouba ;Histoire & Géographie;194
2021/2022; 10 ; Siliana ;Histoire & Géographie;107
2021/2022; 11 ; Le Kef ;Histoire & Géographie;118
2021/2022; 12 ; Kasserine ;Histoire & Géographie;204
2021/2022; 13 ; Sidi Bouzid ;Histoire & Géographie;216
2021/2022; 14 ; Gafsa ;Histoire & Géographie;190
2021/2022; 15 ; Tozeur ;Histoire & Géographie;65
2021/2022; 16 ; Kébili ;Histoire & Géographie;90
2021/2022; 17 ; Tataouine ;Histoire & Géographie;73
2021/2022; 18 ; Médenine ;Histoire & Géographie;221
2021/2022; 19 ; Gabès ;Histoire & Géographie;171
2021/2022; 20 ;Sfax 1;Histoire & Géographie;218
2021/2022; 21 ;Sfax 2;Histoire & Géographie;173
2021/2022; 22 ; Mahdia ;Histoire & Géographie;193
2021/2022; 23 ; Kairouan ;Histoire & Géographie;234
2021/2022; 24 ; Monastir ;Histoire & Géographie;256
2021/2022; 25 ; Sousse ;Histoire & Géographie;277
2021/2022; 26 ; Nabeul ;Histoire & Géographie;280
2021/2022;1;Tunis 1;Français;403
2021/2022;2;Tunis 2;Français;352
2021/2022;3; Ariana ;Français;378
2021/2022;4; Mannouba ;Français;308
2021/2022;5; Ben Arous ;Français;501
2021/2022;6; Zaghouan ;Français;141
2021/2022; 7 ; Bizerte ;Français;419
2021/2022; 8 ; Béja ;Français;243
2021/2022; 9 ; Jendouba ;Français;301
2021/2022; 10 ; Siliana ;Français;181
2021/2022; 11 ; Le Kef ;Français;209
