Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:05,Pression relative,Pression relative,hPa,-3.0
2025-06-19 10:00:05,Niveau du fluid,Niveau du fluid,m,-0.03
2025-06-19 08:00:05,Niveau du fluid,Niveau du fluid,m,0.08
2025-06-19 08:00:05,Pression relative,Pression relative,hPa,8.0
2025-06-19 07:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-19 07:00:05,Pression relative,Pression relative,hPa,9.0
2025-06-19 06:00:05,Niveau du fluid,Niveau du fluid,m,0.1
2025-06-19 06:00:05,Pression relative,Pression relative,hPa,10.0
2025-06-19 04:00:05,Pression relative,Pression relative,hPa,9.0
2025-06-19 04:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-19 03:00:05,Pression relative,Pression relative,hPa,9.0
2025-06-19 03:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-19 02:00:05,Pression relative,Pression relative,hPa,9.0
2025-06-19 02:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-19 00:00:05,Pression relative,Pression relative,hPa,9.0
2025-06-19 00:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-18 22:00:05,Pression relative,Pression relative,hPa,7.0
2025-06-18 22:00:05,Niveau du fluid,Niveau du fluid,m,0.08
2025-06-18 21:00:05,Niveau du fluid,Niveau du fluid,m,0.07
2025-06-18 21:00:05,Pression relative,Pression relative,hPa,7.0
2025-06-18 20:00:05,Niveau du fluid,Niveau du fluid,m,0.04
2025-06-18 20:00:05,Pression relative,Pression relative,hPa,4.0
2025-06-18 16:00:05,Pression relative,Pression relative,hPa,-17.0
2025-06-18 16:00:05,Niveau du fluid,Niveau du fluid,m,-0.17
2025-06-18 14:00:05,Niveau du fluid,Niveau du fluid,m,-0.18
2025-06-18 14:00:05,Pression relative,Pression relative,hPa,-18.0
2025-06-18 13:00:05,Niveau du fluid,Niveau du fluid,m,-0.21
2025-06-18 13:00:05,Pression relative,Pression relative,hPa,-21.0
2025-06-18 12:00:05,Niveau du fluid,Niveau du fluid,m,-0.19
2025-06-18 12:00:05,Pression relative,Pression relative,hPa,-19.0
2025-06-18 10:00:05,Pression relative,Pression relative,hPa,-7.0
2025-06-18 10:00:05,Niveau du fluid,Niveau du fluid,m,-0.07
2025-06-18 08:00:05,Niveau du fluid,Niveau du fluid,m,0.07
2025-06-18 08:00:05,Pression relative,Pression relative,hPa,7.0
2025-06-18 06:00:05,Niveau du fluid,Niveau du fluid,m,0.08
2025-06-18 06:00:05,Pression relative,Pression relative,hPa,8.0
2025-06-18 05:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-18 05:00:05,Pression relative,Pression relative,hPa,8.0
2025-06-18 02:00:05,Pression relative,Pression relative,hPa,7.0
2025-06-18 02:00:05,Niveau du fluid,Niveau du fluid,m,0.08
2025-06-18 01:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-18 01:00:05,Pression relative,Pression relative,hPa,8.0
2025-06-18 00:00:05,Niveau du fluid,Niveau du fluid,m,0.07
2025-06-18 00:00:05,Pression relative,Pression relative,hPa,7.0
2025-06-17 23:00:05,Niveau du fluid,Niveau du fluid,m,0.06
2025-06-17 23:00:05,Pression relative,Pression relative,hPa,6.0
2025-06-17 22:00:05,Pression relative,Pression relative,hPa,3.0
2025-06-17 22:00:05,Niveau du fluid,Niveau du fluid,m,0.03
2025-06-17 20:00:05,Niveau du fluid,Niveau du fluid,m,-0.04
2025-06-17 20:00:05,Pression relative,Pression relative,hPa,-3.0
2025-06-17 18:00:05,Niveau du fluid,Niveau du fluid,m,-0.13
2025-06-17 18:00:05,Pression relative,Pression relative,hPa,-13.0
2025-06-17 16:00:05,Niveau du fluid,Niveau du fluid,m,-0.22
2025-06-17 16:00:05,Pression relative,Pression relative,hPa,-21.0
2025-06-17 15:00:05,Niveau du fluid,Niveau du fluid,m,-0.25
2025-06-17 15:00:05,Pression relative,Pression relative,hPa,-24.0
2025-06-17 14:00:05,Niveau du fluid,Niveau du fluid,m,-0.22
2025-06-17 14:00:05,Pression relative,Pression relative,hPa,-21.0
2025-06-17 12:00:05,Niveau du fluid,Niveau du fluid,m,-0.22
2025-06-17 12:00:05,Pression relative,Pression relative,hPa,-21.0
2025-06-17 11:00:05,Niveau du fluid,Niveau du fluid,m,-0.19
2025-06-17 11:00:05,Pression relative,Pression relative,hPa,-19.0
2025-06-17 10:00:05,Pression relative,Pression relative,hPa,-10.0
2025-06-17 10:00:05,Niveau du fluid,Niveau du fluid,m,-0.1
2025-06-17 09:00:05,Niveau du fluid,Niveau du fluid,m,-0.06
2025-06-17 09:00:05,Pression relative,Pression relative,hPa,-6.0
2025-06-17 08:00:05,Niveau du fluid,Niveau du fluid,m,0.06
2025-06-17 08:00:05,Pression relative,Pression relative,hPa,5.0
2025-06-17 06:00:05,Niveau du fluid,Niveau du fluid,m,0.1
2025-06-17 06:00:05,Pression relative,Pression relative,hPa,10.0
2025-06-17 05:00:05,Pression relative,Pression relative,hPa,9.0
2025-06-17 05:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-17 04:00:05,Pression relative,Pression relative,hPa,8.0
2025-06-17 04:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-17 03:00:05,Pression relative,Pression relative,hPa,9.0
2025-06-17 03:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-17 02:00:05,Pression relative,Pression relative,hPa,9.0
2025-06-17 02:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-17 01:00:05,Pression relative,Pression relative,hPa,9.0
2025-06-17 01:00:05,Niveau du fluid,Niveau du fluid,m,0.09
2025-06-17 00:00:05,Niveau du fluid,Niveau du fluid,m,0.07
2025-06-17 00:00:05,Pression relative,Pression relative,hPa,7.0
2025-06-16 22:00:05,Niveau du fluid,Niveau du fluid,m,0.02
2025-06-16 22:00:05,Pression relative,Pression relative,hPa,2.0
2025-06-16 20:00:05,Niveau du fluid,Niveau du fluid,m,-0.04
2025-06-16 20:00:05,Pression relative,Pression relative,hPa,-4.0
2025-06-16 18:00:05,Niveau du fluid,Niveau du fluid,m,-0.16
2025-06-16 18:00:05,Pression relative,Pression relative,hPa,-16.0
2025-06-16 16:00:05,Niveau du fluid,Niveau du fluid,m,-0.24
2025-06-16 16:00:05,Pression relative,Pression relative,hPa,-24.0
2025-06-16 15:00:05,Niveau du fluid,Niveau du fluid,m,-0.31
2025-06-16 15:00:05,Pression relative,Pression relative,hPa,-30.0
2025-06-16 14:00:05,Niveau du fluid,Niveau du fluid,m,-0.23
2025-06-16 14:00:05,Pression relative,Pression relative,hPa,-23.0
2025-06-16 13:00:05,Niveau du fluid,Niveau du fluid,m,-0.27
2025-06-16 13:00:05,Pression relative,Pression relative,hPa,-26.0
2025-06-16 12:00:05,Niveau du fluid,Niveau du fluid,m,-0.22
2025-06-16 12:00:05,Pression relative,Pression relative,hPa,-22.0
2025-06-16 10:00:05,Niveau du fluid,Niveau du fluid,m,-0.11
2025-06-16 10:00:05,Pression relative,Pression relative,hPa,-11.0
2025-06-16 08:00:05,Pression relative,Pression relative,hPa,6.0
2025-06-16 08:00:05,Niveau du fluid,Niveau du fluid,m,0.06
